frame,slot,pose_notes,orientation
00,idle,"low relaxed gecko standing still, head level, all four feet planted, tail gently trailing","right-facing side"
01,idle,"subtle breathing pose, chest slightly lifted, front toes still planted, tail unchanged","right-facing side"
02,idle,"small head raise and alert eye, body still low, tail tip barely lifted","right-facing side"
03,idle,"settles back down, tiny tail-tip curl, all feet stable","right-facing side"
04,walk,"slow crawl step, near front foot reaching forward, far hind foot pushing, body stretched slightly","right-facing side"
05,walk,"slow crawl step, near front foot planted, near hind foot lifting, belly low","right-facing side"
06,walk,"slow crawl step, far front foot suggested forward, tail counter-curves lightly","right-facing side"
07,walk,"slow crawl step, near hind foot placed ahead, head steady, body compact","right-facing side"
08,walk,"second crawl cycle start, front shoulder slightly forward, one forefoot lifted as one connected shape","right-facing side"
09,walk,"mid crawl, torso gliding forward, hind legs splayed and readable","right-facing side"
10,walk,"late crawl, tail follows with smooth S curve, feet planted cleanly","right-facing side"
11,walk,"crawl cycle completes, body returns to neutral stance, all feet visible","right-facing side"
12,fast,"quick scamper start, body elongated, front half low and forward, tail straightening","right-facing side"
13,fast,"quick scamper, two feet tucked close as one clean silhouette, head slightly lowered","right-facing side"
14,fast,"quick scamper, body lifted just a little, tail sweeping back for balance","right-facing side"
15,fast,"quick scamper, long stride with forelegs forward and hind legs extended","right-facing side"
16,fast,"quick scamper, compact recoil, belly low, toes connected with no tiny gaps","right-facing side"
17,fast,"quick scamper, head leading, tail curves opposite the stride","right-facing side"
18,fast,"quick scamper deceleration, legs spreading back to stable stance","right-facing side"
19,fast,"fast movement recovery, body shortens, tail settles behind","right-facing side"
20,sniff_nibble,"nose close to ground, neck slightly extended, front feet braced","right-facing side"
21,sniff_nibble,"sniffing a spot, head lower, tiny mouth closed, no object present","right-facing side"
22,sniff_nibble,"small nibble motion, jaw suggested by one simple line, feet planted","right-facing side"
23,sniff_nibble,"head rises a little after nibble, body still, tail relaxed","right-facing side"
24,sniff_nibble,"nose sweeps forward along the ground, one forefoot inches forward","right-facing side"
25,sniff_nibble,"sniff slot resolves, head returns to neutral, full silhouette clean","right-facing side"
26,wall_cling_species_action,"species action: gecko lifts front body as if about to climb, toe pads spread but connected","right-facing side"
27,wall_cling_species_action,"front feet press upward, chest raised, hind feet anchored low, tail stable","right-facing side"
28,wall_cling_species_action,"brief climb pose, body diagonal upward but fully inside frame, all limbs attached","right-facing side"
29,wall_cling_species_action,"climb pause, head higher, tail bends down for counterbalance","right-facing side"
30,wall_cling_species_action,"climb action eases down, front body lowering, feet still readable","right-facing side"
31,wall_cling_species_action,"returns to ground stance, low body and complete tail","right-facing side"
32,turn,"turn phase start, head begins rotating toward viewer, body still mostly right-facing","three-quarter right"
33,turn,"turn phase, shoulders rotate toward viewer, wider chest, both eyes subtly implied but single head only","front-right three-quarter"
34,turn,"turn phase midpoint, compact top-down-leaning gecko silhouette, head centered, one face only","near-front/top three-quarter"
35,turn,"turn phase continuing, head starts turning back toward right, tail arcs smoothly","front-right three-quarter"
36,turn,"turn phase, body rolls back into right-facing side view, feet reconnect to baseline","three-quarter right"
37,turn,"right-facing side restored, tail still finishing the turn arc","right-facing side"
38,turn,"small follow-through, head checks forward, body low and stable","right-facing side"
39,turn,"turn slot resolves in neutral right-facing stance","right-facing side"
40,chew_eat,"chew/eat pose, tiny mouth motion suggested, head slightly tucked, no food object","right-facing side"
41,chew_eat,"chewing continues, cheek/mouth line changed subtly, front feet braced","right-facing side"
42,chew_eat,"small swallow, head tilts up a little, body remains compact","right-facing side"
43,chew_eat,"chew slot resolves, mouth closed, neutral stance","right-facing side"
44,ground_check,"ground check, one forefoot pats the ground, nose lowered, tail steady","right-facing side"
45,ground_check,"ground check, head tracks along baseline, body stretched forward","right-facing side"
46,ground_check,"ground check, hind legs shift slightly, belly low, toes connected","right-facing side"
47,ground_check,"ground check resolves, head returns forward, all feet planted","right-facing side"
48,alert_rest,"alert rest, body freezes, head high, eye bright, tail still","right-facing side"
49,alert_rest,"alert rest, chest lifted higher, front legs straightened slightly","right-facing side"
50,alert_rest,"brief upright alert lean without standing fully, all feet remain attached","right-facing side"
51,alert_rest,"relaxes back down from alert, body lowers smoothly","right-facing side"
52,face_groom,"face groom start, near front foot lifts toward snout as one connected rounded paw","right-facing side"
53,face_groom,"front foot touches snout, head dips, one face only, no detached paw","right-facing side"
54,face_groom,"small wiping motion across face, paw connected, tail calm","right-facing side"
55,face_groom,"groom resolves, paw returns to ground, head forward","right-facing side"
56,reaction_recover,"reaction start, quick flinch, head pulls back, tail flicks upward","right-facing side"
57,reaction_recover,"reaction peak, body arches slightly, feet still attached, tail high curve","right-facing side"
58,reaction_recover,"recovering, body lengthens forward, tail lowering","right-facing side"
59,reaction_recover,"settling, head returns to normal, feet spread to stable stance","right-facing side"
60,reaction_recover,"nearly neutral, tiny tail-tip flick remains","right-facing side"
61,reaction_recover,"fully recovered neutral gecko, matches frame 00 silhouette closely","right-facing side"
